"intent","δείγματα","status","score","url","τίτλος","εναλλακτική_2","εναλλακτική_3"
"πεζοδρόμιο","68","ok","1.040","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-kataskeuis-pezodromiou.html","Χορήγηση άδειας κατασκευής πεζοδρομίου","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες"
"αδέσποτα_ζώα","75","ok","1.039","https://eservices.heraklion.gr/e-services/technical-services/kataggelia-zwa-syntrofias.html","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)","Έκδοση άδειας διοργάνωσης έκθεσης ζώων συντροφιάς","Βεβαίωση Υψομέτρου"
"πιστοποιητικό_γέννησης","78","ok","1.010","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-genisis.html","Χορήγηση Πιστοποιητικού Γέννησης","Διόρθωση ηλικίας","Εγγραφή Αλλοδαπών που αποκτούν την Ελληνική Ιθαγένεια με πολιτογράφηση και τέκνων λόγω γέννησης - φοίτησης, φοίτησης"
"αίτηση_παραχώρησης_αποκλειστικής_θέσης_στάθμευσης_αμεα","70","ok","1.002","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-thesis-stathmeusis-AMEA.html","Χορήγηση θέσης στάθμευσης για ΑMΕΑ","Αίτηση για διάθεση σήματος στάθμευσης μονίμου κατοίκου","Κατάθεση Ένστασης - Αντίρρησης για παράνομη στάθμευση"
"βεβαίωση_κατοικίας","70","ok","0.975","https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-logo-dietous-katikias.html","Μεταδημότευση λόγω διετούς κατοικίας","Αλλαγή διεύθυνσης","Αίτηση για διάθεση σήματος στάθμευσης μονίμου κατοίκου"
"καθαρισμός_οικοπέδου_πυροπροστασία","69","ok","0.949","https://eservices.heraklion.gr/e-services/cleanness/katharismos-dhmotikon-oikopedon-apopsilosi.html","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","Αίτημα για καθαριότητα κοινόχρηστου χώρου","Απολύμανση κτιρίων"
"επισκευή_οδοστρώματος","73","ok","0.926","https://eservices.heraklion.gr/e-services/technical-services/aitisi-gia-blabi-sto-odostroma.html","Αίτηση για βλάβη στο οδόστρωμα","Επισκευή και αντικατάσταση κάδων απορριμάτων","Χορήγηση άδειας επισκευής/παρέμβασης εντός κοινόχρηστου χώρου (πεζοδρόμιο κλπ)"
"γενικές_υπηρεσίες","70","ok","0.884","https://eservices.heraklion.gr/e-services/municipal-police/geniki-aitisi-gia-kok.html","Γενική αίτηση για θέματα Κ.Ο.Κ","Γενική Αίτηση για θέματα Επιδομάτων","Γενικό αίτημα καθαριότητας"
"σήμανση_οδοστρώματος","69","ok","0.879","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-bebeosis-simansis-odon.html","Χορήγηση βεβαίωσης σήμανσης οδών","Αίτηση μη παράδοσης πινακίδων","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών"
"διεύθυνση_οικοπέδου","72","ok","0.842","https://eservices.heraklion.gr/e-services/technical-services/bebeosi-akribous-dieuthinsis-akinitou.html","Βεβαίωση ακριβούς διεύθυνσης ακινήτων","Ονομασία ανώνυμων οδών","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση"
"μη_οφειλή_ταπ_ακίνητα","68","ok","0.809","https://eservices.heraklion.gr/e-services/town-planning/e-tap.html","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","Διαγραφή οφειλής"
"φωτισμός","70","ok","0.784","https://eservices.heraklion.gr/e-services/technical-services/blabes-diktiou-dimotikou-fotismou.html","Βλάβες του δικτύου δημοτικού φωτισμού","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Τοποθέτηση Φωτιστικών Σωμάτων"
"βεβαίωση_δραστηριοποίησης_υπαίθριου","69","ok","0.754","https://eservices.heraklion.gr/e-services/katasthmata/ekdosh-vevaiwshs-drasthriothtas-ethsias-diarkeias.html","Διαδικασία έκδοσης Βεβαίωσης Δραστηριοποίησης Ετήσιας Διάρκειας στις βραχυχρόνιες αγορές","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","Έκδοση Έκθεσης Αυτοψίας για Νομιμοποίηση"
"εκτός_σχεδίου","70","ok","0.732","https://eservices.heraklion.gr/e-services/town-planning/tropopoihsi-sxediou-polis.html","Τροποποίηση σχεδίου πόλης","Ένσταση (μελέτης κτηματογράφησης ή μελέτης πολεοδόμησης ή τροποποίησης ρυμοτομικού σχεδίου)","Εκτέλεση έργων Οδοποιίας"
"παιδικές_χαρές","72","ok","0.696","https://eservices.heraklion.gr/e-services/technical-services/aitimata-syntirisi-ipethrion-xoron.html","Συντήρηση Υπαίθριων Χώρων (παιδικές χαρές,πάρκα)","Πιστοποιητικό Ταυτοπροσωπίας Ανηλίκων","Πιστοποιητικό Ταυτοπροσωπίας για Ενήλικα"
"άδεια_μικρής_κλίμακας","72","ok","0.661","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-topothetisis-ikriomaton.html","Χορήγηση άδειας τοποθέτησης ικριωμάτων","Βεβαίωση Υψομέτρου","Κατασχέσεις"
"ταπ_διόρθωση_τετραγωνικών","69","ok","0.611","https://eservices.heraklion.gr/e-services/tetragwnika-koinoxrhstou.html","Τροποποίηση τετραγωνικών κοινόχρηστου χώρου","Διόρθωση τόπου γέννησης","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α"
"ταπ_ηλεκτροδότηση","68","ok","0.610","https://eservices.heraklion.gr/e-services/ilektr.html","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)"
